400
40 708
11 8 774
24 29 548
4 11 310
5 6 472
39 9 394
22 24 349
25 16 406
1 18 7
35 40 687
36 21 987
36 17 375
37 24 152
9 12 669
7 21 473
40 27 426
11 33 996
14 37 393
4 5 301
11 32 980
40 31 259
40 2 241
16 21 822
20 1 829
10 39 243
25 37 616
28 35 494
8 7 352
1 34 36
27 18 429
7 3 183
25 1 184
11 37 308
35 14 507
11 16 820
15 34 514
19 2 524
1 9 201
4 38 617
23 25 862
27 30 880
40 21 336
17 9 489
19 5 498
31 1 788
21 17 273
16 19 832
25 14 515
31 30 557
30 1 736
6 23 757
21 34 233
14 1 855
20 5 697
34 9 309
5 22 860
18 2 173
3 7 300
33 30 428
38 7 293
32 38 884
16 39 356
4 8 163
7 14 187
17 27 587
18 40 515
32 31 234
4 12 553
22 37 692
38 20 444
8 27 722
3 12 262
6 20 2
10 13 499
20 37 64
31 18 751
3 26 384
12 20 388
36 16 531
16 29 765
40 36 934
6 7 407
38 29 524
27 24 800
36 11 904
38 26 875
14 13 481
16 38 140
7 18 179
20 18 472
15 24 753
38 14 758
33 5 864
13 9 484
21 20 551
20 14 117
39 10 284
14 28 773
11 10 502
7 12 969
22 7 714
21 10 30
34 5 790
6 35 715
5 2 585
19 20 905
30 21 294
1 30 264
18 28 584
40 28 433
30 35 302
28 33 568
12 24 517
9 14 386
15 8 146
7 2 612
10 33 845
37 4 602
20 33 868
13 15 116
40 15 278
3 16 369
29 4 33
33 38 370
4 40 403
6 19 246
33 8 909
7 32 140
39 18 755
9 36 515
37 12 397
14 26 261
31 21 78
6 3 168
32 13 998
4 29 677
6 16 134
13 6 578
21 38 626
34 20 655
30 36 33
33 29 695
28 11 935
35 4 83
24 21 876
39 17 732
23 28 107
39 21 946
35 12 219
13 37 799
15 9 413
8 25 346
7 6 492
30 8 822
20 3 537
12 38 555
32 30 126
26 4 177
28 31 263
3 25 406
2 40 481
33 19 572
1 26 949
24 23 410
35 38 145
19 40 101
37 14 708
8 4 466
20 2 278
1 2 139
9 22 145
32 18 672
13 11 458
18 26 347
23 40 295
29 33 978
15 6 681
28 15 504
9 24 534
38 36 824
35 19 666
38 31 279
36 31 880
30 27 930
21 27 83
9 2 561
6 22 603
25 10 533
13 2 971
27 20 58
19 32 790
2 21 285
17 35 59
13 35 467
26 6 752
3 21 535
34 8 881
37 22 825
34 7 305
26 14 615
18 31 452
32 16 822
35 18 5
20 4 603
21 30 851
6 30 858
40 14 821
8 17 968
35 9 133
34 11 106
27 7 998
1 8 190
12 32 873
21 40 557
7 4 317
31 28 421
7 37 774
21 36 185
5 1 460
11 14 181
20 32 151
28 19 2
40 26 197
23 21 806
27 4 545
2 1 256
15 14 839
5 34 779
3 24 496
1 38 983
25 11 458
29 18 911
9 10 417
15 33 275
30 19 367
39 2 866
4 34 204
32 36 990
9 39 145
31 19 994
6 18 637
31 23 717
25 13 570
37 30 549
20 23 660
22 29 500
6 9 964
18 23 191
13 29 523
17 30 168
9 3 328
18 1 559
36 19 839
26 7 142
35 37 786
22 31 996
25 17 820
16 11 350
18 7 38
13 32 410
28 4 61
39 23 562
27 5 268
34 33 453
21 28 318
17 19 274
33 35 248
21 18 653
18 12 355
1 4 188
3 28 348
1 23 386
3 36 603
30 23 157
37 3 830
22 3 617
24 30 775
6 34 573
31 34 47
36 27 2
37 23 286
3 27 571
2 37 768
32 34 473
4 31 540
9 25 73
34 21 473
13 10 12
7 28 869
28 40 190
22 17 650
9 15 240
25 8 811
11 13 800
27 35 96
23 33 249
6 38 202
26 28 722
33 11 271
18 33 719
38 11 222
35 6 366
5 18 699
26 30 507
6 5 455
14 39 889
23 4 703
35 21 955
1 19 376
25 30 476
22 4 994
27 6 628
4 9 611
40 17 217
12 17 415
21 13 831
34 12 692
38 15 398
22 6 93
34 17 224
33 9 254
40 6 636
31 26 620
13 18 407
35 8 705
11 39 89
28 7 344
7 13 203
16 31 7
4 18 343
2 22 764
34 40 162
13 28 6
20 39 691
40 7 579
27 33 606
15 39 23
21 11 32
23 14 206
32 20 499
15 22 199
27 13 298
24 26 830
36 4 337
10 3 574
32 22 156
39 26 941
29 37 846
17 21 705
20 21 514
35 11 888
19 36 204
4 3 311
23 24 247
37 6 123
12 25 336
10 21 66
12 34 307
10 30 918
24 11 15
34 28 552
22 9 670
23 7 492
24 22 588
8 40 708
19 6 76
33 4 934
17 22 880
39 16 70
6 10 451
40 19 709
26 18 951
39 8 190
37 25 433
35 20 485
36 39 365
32 6 74
29 16 316
8 10 145
9 1 351
35 5 993
32 24 431
13 26 601
22 1 651
31 24 647
13 17 450
19 28 548
1 31 776
1 40 617
31 8 137
24 6 578
7 35 986
29 14 824
32 26 541
19 3 661
32 35 524
3 17 216
22 16 146
39 27 258
37 16 221
29 12 694
32 14 415
19 22 555
19 39 337
31 29 325
14 12 429
3 4 859
31 13 131
31 7 24
11 9 783
24 35 527
28 20 571
23 36 986
11 2 611
20 26 239
8 37 623
1 37 448
36 35 496
7 33 517
26 11 874
10 12 78
2 17 89
19 25 50
11 22 92
8 24 767
34 19 918
3 13 415
30 10 160
18 16 268
9 34 737
12 1 30
24 20 552
6 15 602
20 15 55
